gene,MII,Zygote,l2cell,4cell,8cell,Morula,ICM,TE,e2cell,m2cell,mES,TSC
Ptbp1,6.76944071402475,5.89176006740768,7.14383753691774,5.80040897668992,6.35320545637878,6.51912394495457,4.36997375648961,6.74594713239281,7.95691276428676,8.22052146083258,6.64669927846685,6.1250607536452
Ptbp2,5.84215420208097,5.20378805788178,5.60839563295238,0.553334310528242,1.36972752995515,0.813069918124433,0.81480741789895,0.128086765975777,6.46652419507177,6.77142672505772,3.18754533738266,3.06884771117177
Ptcd1,3.7319611382285,4.6527608888382,2.92302609256648,0.275057245090303,2.25410341921744,1.975272317693,3.09136714090681,2.612974963158,2.55976932611512,1.14241174463223,3.78278107200251,3.5003760729112
Ptcd2,1.52968612526193,4.10704694087521,1.26507570826987,1.69394076739446,3.22999378747406,3.25415624900736,3.5612899755954,4.58320367393091,3.16399639741099,1.97237297521862,3.64660738434383,3.23500032639795
Ptcd3,3.83521738035638,3.3875359633497,2.64678502590387,3.15875126045916,4.31066780833419,3.91727956419385,4.08369735981037,0.871504336434864,5.60798370552709,5.11072298442418,5.19449240829657,4.64153397623702
Ptch1,0,0.332574907913195,0,0.0156477397163635,0,0,0.0476424818435937,0,0.118846339129401,0.165782625913512,3.49359571757214,2.03226914834159
Ptch2,0,0,0,0.00285981612905671,0,0.106145981391435,0,0,0,0,1.58552698701514,0.38722199755051
Ptchd1,0,0,0,0,0,0,0,0,0,0.00472469791138144,0.229138694529439,0
Ptchd2,0,0,0,0.0154897332316377,0.0136919934300383,0.203182094458301,0.444290952503951,0,0.596190699405348,0.150564043604928,0.148137569033399,0.0562418901642086
Ptchd3,0.0593652904331383,0,0,0.0523229500937293,0,0,0,0,0.245742180853476,0,0.414278492665557,0
Ptcra,0.391589394748975,0.283721449984356,0,0,0.525887151659296,0.216616398701506,0,0,0.305488424593498,1.30288687476797,0.184867911174049,0
Ptdss1,3.12954359883938,3.43388220692918,2.0013111458319,0.638326803421198,3.26904216696894,3.89123628863341,3.50881007307064,4.24258278558928,4.0771143865907,4.15416272538518,2.55805638389861,2.21065888490683
